pincode,city_tier
711402,Metro
711403,Metro
711404,Metro
711405,Metro
711406,Metro
711408,Metro
711409,Metro
711410,Metro
711411,Metro
711412,Metro
711413,Metro
711414,Metro
711415,Metro
711416,Metro
711452,Metro
712224,Metro
712256,Metro
712324,Metro
712331,Metro
712344,Metro
712415,Metro
712419,Metro
713221,Metro
721119,Metro
734144,Metro
742262,Metro
743122,Metro
743125,Metro
743128,Metro
743144,Metro
743195,Metro
743231,Metro
743353,Metro
743445,Metro
743502,Metro
743562,Metro
770064,Metro
888801,Metro
888803,Metro
888804,Metro
888899,Metro
900001,Metro
900002,Metro
900003,Metro
900004,Metro
900005,Metro
900006,Metro
900008,Metro
900009,Metro
900010,Metro
900011,Metro
900014,Metro
900015,Metro
910001,Metro
910002,Metro
910003,Metro
910004,Metro
960001,Metro
991010,Metro
999102,Metro
999132,Metro
999148,Metro
999149,Metro
999152,Metro
999195,Metro
999216,Metro
999218,Metro
999220,Metro
999222,Metro
999242,Metro
999243,Metro
999244,Metro
999245,Metro
999253,Metro
999254,Metro
999255,Metro
999256,Metro
999258,Metro
999259,Metro
999260,Metro
999263,Metro
999264,Metro
999265,Metro
999266,Metro
999268,Metro
999283,Metro
999284,Metro
999287,Metro
999288,Metro
999290,Metro
999292,Metro
999299,Metro
999300,Metro
999302,Metro
999303,Metro
999306,Metro
999310,Metro
999311,Metro
999313,Metro
999314,Metro
999315,Metro
999316,Metro
999318,Metro
999319,Metro
999322,Metro
999324,Metro
999325,Metro
999326,Metro
999329,Metro
999330,Metro
999332,Metro
999336,Metro
999337,Metro
999338,Metro
999339,Metro
999340,Metro
999345,Metro
999349,Metro
999356,Metro
999357,Metro
999365,Metro
999366,Metro
999367,Metro
999368,Metro
999370,Metro
999372,Metro
999374,Metro
999379,Metro
999382,Metro
999383,Metro
999386,Metro
999389,Metro
999397,Metro
999398,Metro
999399,Metro
999400,Metro
999401,Metro
999402,Metro
999403,Metro
999404,Metro
999414,Metro
999415,Metro
999418,Metro
999424,Metro
999426,Metro
999427,Metro
999431,Metro
999433,Metro
999434,Metro
999435,Metro
999438,Metro
999439,Metro
999440,Metro
999442,Metro
999443,Metro
999444,Metro
999445,Metro
999446,Metro
999447,Metro
999452,Metro
999454,Metro
999455,Metro
999457,Metro
999463,Metro
999467,Metro
999471,Metro
999476,Metro
999478,Metro
999479,Metro
999480,Metro
999482,Metro
999483,Metro
999486,Metro
999487,Metro
999488,Metro
999489,Metro
999493,Metro
999496,Metro
999505,Metro
999511,Metro
999516,Metro
999517,Metro
999525,Metro
999526,Metro
999527,Metro
999535,Metro
999541,Metro
999542,Metro
999543,Metro
999544,Metro
999546,Metro
999548,Metro
999549,Metro
999551,Metro
999552,Metro
999554,Metro
999555,Metro
999557,Metro
999558,Metro
999559,Metro
999560,Metro
999563,Metro
999564,Metro
999565,Metro
999569,Metro
999570,Metro
999573,Metro
999574,Metro
999576,Metro
999577,Metro
999578,Metro
999579,Metro
999580,Metro
999584,Metro
999586,Metro
999595,Metro
999596,Metro
999598,Metro
999600,Metro
999601,Metro
999602,Metro
999603,Metro
999605,Metro
999609,Metro
999611,Metro
999615,Metro
999618,Metro
999619,Metro
999623,Metro
999630,Metro
999633,Metro
999637,Metro
999639,Metro
999640,Metro
999641,Metro
999643,Metro
999645,Metro
999646,Metro
999649,Metro
999652,Metro
999653,Metro
999656,Metro
999657,Metro
999658,Metro
999659,Metro
999665,Metro
999666,Metro
999668,Metro
999672,Metro
999675,Metro
999678,Metro
999680,Metro
999681,Metro
999683,Metro
999685,Metro
999686,Metro
999688,Metro
999690,Metro
999694,Metro
999696,Metro
999999,Metro
100000,Tier 1A
201025,Tier 1A
201086,Tier 1A
201122,Tier 1A
201126,Tier 1A
208000,Tier 1A
208001,Tier 1A
208002,Tier 1A
208003,Tier 1A
208004,Tier 1A
208005,Tier 1A
208006,Tier 1A
208007,Tier 1A
208008,Tier 1A
208010,Tier 1A
208011,Tier 1A
208012,Tier 1A
208013,Tier 1A
208014,Tier 1A
208015,Tier 1A
